homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Wolfsburg,Hoffenheim,3,0,2,0.6784,0.1974,0.122,0.41429687499999995,0.48750000000000004,0.098203125,0.5190625,0.42500000000000004,0.0559375,0.7644110275689224,-9,-5,-1.7928198653198648,0.040823581631339534,-0.017826124826898826,1.6,4.52,5.82,1.56,4.57,6.3
Augsburg,Ein Frankfurt,2,2,2,0.5794,0.1659,0.2082,0.424140625,0.4625,0.11335937499999998,0.46070312500000005,0.4624999999999999,0.07679687500000004,0.6315789473684212,-4,-4,0.3660866910866907,0.03313859954210832,-0.07075100825100823,1.99,3.78,3.95,2.12,3.68,3.63
Werder Bremen,Leverkusen,2,1,2,0.3748,0.2804,0.3441,0.404453125,0.23749999999999993,0.35804687500000004,0.45999999999999996,0.20000000000000007,0.33999999999999997,0.052631578947368474,7,6,-0.3973850223850226,0.014121260767287605,0.004796873424324388,4.49,3.84,1.86,4.53,3.97,1.83
Dortmund,Mainz,4,2,2,0.3516,0.3031,0.345,0.236015625,0.5875,0.17648437499999997,0.25999999999999995,0.6000000000000001,0.13999999999999996,0.1503759398496241,2,3,-0.7588447971781314,-0.07165586649332781,0.026065699006875512,1.33,5.85,10.33,1.33,5.7,10.83
Bayern Munich,Hamburg,8,0,2,0.827,0.1544,0.0183,0.34187500000000004,0.35,0.308125,0.450390625,0.3125,0.237109375,0.9047619047619047,-10,-11,-2.157411477411478,0.10400169655224605,-0.048032245532245534,1.1,12.55,33.6,1.1,12.14,31.67
Ein Frankfurt,Schalke 04,1,0,2,0.3031,0.1851,0.4682,0.16000000000000006,0.3999999999999999,0.44000000000000006,0.314921875,0.38749999999999996,0.297578125,0.18796992481203012,1,5,-0.07130748880748916,0.011403396798133625,0.09877254944693363,2.32,3.64,3.18,2.38,3.58,3.11
Hoffenheim,Stuttgart,2,1,2,0.3482,0.1952,0.424,0.04593749999999999,0.775,0.17906249999999999,0.13749999999999998,0.5,0.36250000000000004,0.19047619047619047,5,-9,-0.25285714285714267,-0.002554996173417229,0.05870158058315954,1.97,3.75,4.06,2.06,3.61,3.85
Leverkusen,Wolfsburg,4,5,2,0.3897,0.2416,0.3647,0.23812500000000003,0.32499999999999996,0.436875,0.28750000000000003,0.42499999999999993,0.28750000000000003,0.22556390977443608,1,4,-0.10171957671957577,-0.050748283125734095,0.04279800809212575,2.42,3.59,3.05,2.21,3.62,3.43
M'gladbach,FC Koln,1,0,2,0.5064,0.2287,0.2603,0.27789062500000006,0.4624999999999999,0.25960937500000003,0.44218750000000007,0.2749999999999999,0.2828125,0.23809523809523814,3,-6,-0.5050793650793652,-0.015686641098540455,0.002346889952153139,1.78,3.73,5.3,2.02,3.37,4.39
Werder Bremen,Augsburg,3,2,2,0.4864,0.3287,0.1849,0.4565625,0.17500000000000004,0.3684375,0.47710937500000006,0.21250000000000002,0.3103906249999999,0.2857142857142857,2,5,0.33282967032967026,0.07189235343260111,0.006152279093455559,2.63,3.49,2.83,2.76,3.42,2.74
Hannover,Paderborn,1,2,2,0.594,0.2575,0.1481,0.163828125,0.7375,0.09867187499999996,0.275703125,0.5875,0.13679687499999998,0.5087719298245614,-7,-6,-1.257804232804232,0.05921877505210838,-0.015280360735469081,1.83,3.82,4.7,1.74,3.97,5.21
Hertha,Freiburg,0,2,2,0.3322,0.2839,0.3833,0.18789062499999998,0.6875,0.12460937500000002,0.08570312500000002,0.7625,0.15179687500000003,0.28571428571428575,-5,-2,1.3609523809523814,-0.03204371222173079,0.05163280268118978,2.18,3.42,3.72,2.07,3.36,4.15
Stuttgart,Dortmund,2,3,2,0.078,0.2185,0.7032,0.0022656249999999933,0.6125,0.38523437499999996,-0.009921874999999997,0.7375,0.2724218749999999,-0.10973084886128365,2,4,1.3767171717171718,-0.0339829733546311,-0.014668299614823688,5.95,4.2,1.63,5.99,4.17,1.63
Augsburg,Leverkusen,2,2,2,0.4378,0.2392,0.319,0.32187499999999997,0.55,0.128125,0.3640625,0.375,0.2609375,0.38095238095238104,1,-2,-2.085119047619048,0.07967402652387172,-0.033437004172298265,3.34,3.5,2.3,3.48,3.47,2.26
FC Koln,Hannover,1,1,2,0.1974,0.4236,0.379,0.22898437499999996,0.7375,0.03351562499999998,0.22375,0.725,0.051250000000000004,-0.010351966873706042,4,1,-0.06162337662337691,-0.030202346672934928,-0.06149559930824078,2.39,3.27,3.38,2.33,3.18,3.62
Freiburg,Hoffenheim,1,1,2,0.3487,0.2723,0.378,0.26375,0.55,0.18624999999999997,0.251171875,0.6875,0.06132812500000001,0.09523809523809529,2,10,-1.285555555555555,-0.005035761022603127,-0.019890458698508223,3.36,3.64,2.23,3.57,3.74,2.12
Mainz,Ein Frankfurt,3,1,2,0.4753,0.2339,0.2865,0.077265625,0.5875,0.335234375,0.19148437500000004,0.6375,0.171015625,0.1428571428571429,6,7,1.2170970695970693,-0.006389952153110015,-0.05597222222222223,2.36,3.65,3.1,2.27,3.68,3.24
Paderborn,Bayern Munich,0,6,2,0.0975,0.1976,0.7037,0.21085937500000002,0.38749999999999996,0.40164062500000003,0.07960937499999998,0.48750000000000004,0.432890625,-0.38095238095238093,14,13,0.41559523809523835,-0.0025892077478764652,0.0661738261738262,22.3,8.4,1.17,20.68,8.58,1.17
Schalke 04,Werder Bremen,1,1,2,0.7605,0.1265,0.0894,0.2496875,0.22499999999999998,0.5253125000000001,0.4121875,0.42500000000000004,0.16281249999999997,0.6625258799171843,-14,-3,0.6323665223665222,0.0001358742267833224,-0.10802894762928536,2.05,3.67,3.84,2.13,3.65,3.61
Hamburg,M'gladbach,1,1,2,0.1832,0.4316,0.3852,0.2340625,0.42500000000000004,0.34093749999999995,0.306640625,0.5625,0.130859375,0.09523809523809523,7,12,-1.1783333333333332,0.012144979203802725,0.051977931488801046,3.4,3.35,2.34,3.28,3.44,2.36
Wolfsburg,Hertha,2,1,2,0.8164,0.1066,0.0583,0.5190625,0.42500000000000004,0.0559375,0.493046875,0.2875,0.219453125,0.8799171842650104,-16,-15,-0.2195500459136821,-0.056169433010865244,-0.08798996325312115,1.34,5.59,10.78,1.4,5.18,8.75
Bayern Munich,FC Koln,4,1,2,0.8951,0.0788,0.0194,0.44999999999999996,0.375,0.17500000000000004,0.480546875,0.36250000000000004,0.15695312499999997,0.6521739130434783,0,-11,-1.1537074037074042,0.02037803451489767,-0.04831034197062903,1.13,10.2,27.5,1.11,11.3,29.5
Dortmund,Schalke 04,3,0,2,0.3319,0.2765,0.3908,0.423203125,0.3374999999999999,0.23929687500000005,0.344140625,0.4375,0.21835937500000002,0.19047619047619047,0,6,0.7044444444444444,-0.0395375707883448,0.05895467423499463,1.5,4.72,7.0,1.53,4.58,6.8
Ein Frankfurt,Hamburg,2,1,2,0.7236,0.1731,0.0999,0.202421875,0.5375,0.260078125,0.4225,0.4,0.17750000000000002,0.391304347826087,-7,-4,-1.9377206127206135,0.08906218714831154,0.06915400514049541,1.99,3.81,3.92,1.98,3.74,4.04
Hannover,Stuttgart,1,1,2,0.2885,0.245,0.4638,0.144375,0.85,0.005625000000000019,0.13679687499999998,0.5875,0.275703125,0.19668737060041408,5,-7,0.11712121212121218,-0.005535714285714255,-0.0013137882382183025,2.23,3.48,3.53,2.17,3.52,3.63
