home_team,away_team,home_goals,away_goals,month,p_home_win1,p_draw1,p_away_win1,p_home_win2,p_draw2,p_away_win2,p_home_win3,p_draw3,p_away_win3,oddHome,oddDraw,oddAway,d_accuracy,d_efficiency,d_vulnerability,d_points,d_global_rank,d_rank
Lyon,Toulouse,4,0,3,0.6476,0.2607,0.0915,0.361328125,0.3624999999999999,0.2761718750000001,0.4710156250000001,0.3875,0.141484375,1.43,5.08,7.88,-0.13883437990580783,0.08697798885155865,0.03329660105975894,0.6896551724137929,-9,-8
St Etienne,Metz,2,2,3,0.7218,0.2264,0.0516,0.14156249999999998,0.675,0.1834375,0.416640625,0.6375,-0.054140625,1.6,4.0,6.9,0.6071428571428568,0.01800276054477734,-0.05677717421738986,0.5172413793103446,-1,-9
Lille,Marseille,0,0,3,0.3159,0.2309,0.4475,0.276171875,0.3625,0.361328125,0.01179687499999997,0.7375,0.250703125,2.97,3.32,2.62,1.0323129251700682,-0.027567992906891575,0.009945153990930156,0.17241379310344818,8,9
Metz,Bastia,1,0,3,0.5418,0.2153,0.2364,0.187890625,0.6875,0.12460937500000002,0.478046875,0.6375,-0.11554687499999995,1.9,3.67,4.5,0.22244897959183785,0.10928577679951304,0.008277149724481153,0.4993614303959131,-3,-3
Angers,Guingamp,3,0,3,0.4642,0.2763,0.2588,0.366953125,0.3875,0.24554687500000005,0.5125,0.5,-0.012500000000000013,2.29,3.24,3.65,1.0651927437641713,-0.043976253201153684,-0.02422998958713246,0.4382647385984427,1,2
Bordeaux,Montpellier,5,1,3,0.4528,0.2393,0.3041,0.251875,0.575,0.17312500000000006,0.335234375,0.5875,0.077265625,1.86,3.78,4.56,-0.0398412698412689,-0.036613352820783165,-0.10502133953814628,0.5005561735261401,-7,-9
Nancy,Lorient,2,3,3,0.47700000000000004,0.2703,0.2519,0.07375000000000002,0.95,-0.023749999999999983,0.117421875,0.7875,0.095078125,2.2,3.37,3.7,1.253826530612245,-0.0005081927876045417,-0.06901218038436087,0.4137931034482758,-1,-2
Nantes,Nice,1,1,3,0.0987,0.243,0.6581,0.28500000000000003,0.29999999999999993,0.415,0.32093749999999993,0.3250000000000001,0.3540625,2.54,3.2,3.19,0.9346088435374149,-0.06266347448070134,0.07327097505668936,-0.275862068965517,15,8
Toulouse,Rennes,0,0,3,0.6865,0.2015,0.1106,0.183203125,0.5375,0.279296875,0.328828125,0.5125,0.15867187500000002,2.26,3.2,3.71,-0.1133503401360545,0.1084601206449946,0.009679477851746748,0.586206896551724,-4,2
Caen,Monaco,0,3,3,0.0524,0.0846,0.8097,0.219453125,0.2875,0.493046875,0.12718749999999995,0.425,0.4478125,5.29,4.12,1.7,2.0340986394557827,-0.10207268221974108,0.02187694425089383,-0.1724137931034483,11,15
Dijon,St Etienne,0,1,3,0.349,0.3039,0.3468,0.103515625,0.6875,0.208984375,0.223984375,0.6125,0.16351562499999994,2.91,3.24,2.72,0.8112244897959182,0.05974699903271333,0.0037322807911043115,0.20689655172413796,7,10
Paris SG,Lyon,2,1,3,0.6464,0.2337,0.1194,0.468125,0.15000000000000002,0.381875,0.4653125,0.475,0.05968749999999998,1.42,5.18,8.08,-0.6127223966509687,0.014879441363240292,-0.05943182275599858,0.4738186462324395,-1,-2
Guingamp,Nancy,1,0,3,0.631,0.29100000000000004,0.078,0.229140625,0.7875,-0.016640624999999982,0.3509375,0.675,-0.025937500000000058,1.75,3.89,5.21,-0.6736111111111107,0.07136779886779888,-0.025401434919251176,0.5761957730812014,-4,-7
Bastia,Lille,0,1,4,0.3084,0.3919,0.2997,0.02242187499999998,0.6125,0.365078125,0.228203125,0.3875,0.384296875,3.29,3.1,2.54,0.22663299663299696,0.01417094887683125,-0.018471223765341396,0.06451612903225812,9,5
Marseille,Dijon,1,1,4,0.6803,0.1896,0.1267,0.4344531250000001,0.5874999999999999,-0.02195312499999996,0.4375,0.5,0.0625,1.4,5.36,8.52,0.925555555555555,-0.016836000543430873,-0.09702678728220523,0.8064516129032258,-13,-11
Lorient,Caen,1,0,4,0.3491,0.2768,0.3733,0.137578125,0.6625,0.19992187500000005,-0.04945312500000007,0.6625000000000001,0.386953125,2.21,3.49,3.55,-0.11444444444444413,0.014760849172613874,0.06310869442448391,0.2580645161290322,4,4
Montpellier,Toulouse,0,1,4,0.5969,0.3063,0.0968,0.068828125,0.7125,0.218671875,0.2324218750000001,0.6375,0.130078125,2.22,3.47,3.55,0.8692063492063489,0.0872071066188713,0.0008627824417297841,0.5161290322580645,-4,2
Nantes,Angers,2,1,4,0.3159,0.3194,0.3645,0.272734375,0.3375,0.389765625,0.3178125,0.475,0.2071875,2.27,3.22,3.71,0.7749206349206346,-0.02347208347208346,0.0025603100603100726,0.1935483870967742,7,2
Nice,Bordeaux,2,1,4,0.5485,0.2298,0.2189,0.368359375,0.3125,0.319140625,0.4103125,0.2749999999999999,0.3146875000000001,2.31,3.31,3.5,-0.25035147392290247,0.05346729989587129,-0.042798576306979655,0.5038932146829811,-2,-3
Rennes,Lyon,1,1,4,0.3725,0.2851,0.3418,0.25429687500000003,0.4375,0.308203125,0.360625,0.65,-0.010624999999999996,4.5,3.83,1.86,0.02147014361300137,0.014691527737746207,-0.04061161721876007,0.3492769744160179,0,8
Metz,Lyon,0,3,4,0.1666,0.1751,0.643,0.293125,0.45,0.2568750000000001,0.451484375,0.4875,0.061015625000000025,8.24,5.55,1.39,0.03626984126984123,0.05729739261672036,0.00043314528608648373,0.21245828698553948,7,10
Lille,Nice,1,2,4,0.16399999999999998,0.268,0.5677,0.345078125,0.2625000000000001,0.392421875,0.033203125,0.5625,0.404296875,2.73,3.15,2.96,0.7827777777777776,-0.03953543904782293,0.0639475230651701,-0.29032258064516125,16,10
Angers,Monaco,0,1,4,0.1794,0.2298,0.5891,0.2190625,0.275,0.5059374999999999,0.464609375,0.11249999999999992,0.4228906250000001,5.56,3.99,1.68,1.2921164021164024,-0.10574889735880447,-0.006111470229117288,-0.16129032258064513,10,11
Bordeaux,Metz,3,0,4,0.6175,0.2396,0.1423,0.2125,0.575,0.2125,0.404296875,0.5625,0.033203125,1.45,4.87,7.98,-0.1424603174603174,-0.0019623952436452485,0.004538139703619798,0.40078201368523947,-2,-8
Caen,Montpellier,0,2,4,0.4201,0.1953,0.3519,0.12695312499999994,0.8625,0.010546874999999976,0.09999999999999998,0.8,0.09999999999999998,2.63,3.32,2.95,0.7048412698412694,-0.026589008686531898,-0.08210771254888907,0.5161290322580645,-7,1
Dijon,Bastia,1,2,4,0.6488,0.2138,0.1359,0.150390625,0.8125,0.037109375,0.1796875,0.875,-0.0546875,1.83,3.66,4.92,-0.09634920634920707,0.0827242202242202,-0.05207458105028437,0.41935483870967744,-4,-3
Lyon,Lorient,1,4,4,0.8158,0.0798,0.048,0.320234375,0.4125,0.267265625,0.4865625,0.3250000000000001,0.18843749999999995,1.31,6.6,9.25,-0.40029304029304047,0.052782678747030146,-0.06477045371782227,0.8064516129032258,-15,-16
